desc,address,link,price,bedrooms,bathrooms,toilets,parking space,location,Estate,ppty_type
2 bedroom flat / apartment for rent,"Blue Waters, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/2241205-fully-furnished-2-bedroom-at-blue-waters,13000000.0,2.0,2.0,2.0,1.0,Lekki,"Waters, Blue",flat 
1 bedroom mini flat (room and parlour) for rent,"Osapa, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/osapa/2242331-1-bedroom-fully-furnished-apartment,1500000.0,1.0,1.0,1.0,1.0,Lekki,,mini flat
2 bedroom flat / apartment for rent,"Ilasan, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/ilasan/2244435-luxury-2-bedroom-flat-with-excellent-amenities,6000000.0,2.0,2.0,3.0,3.0,Lekki,,flat 
2 bedroom flat / apartment for rent,"Old Ikoyi, Ikoyi, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/2244277-2-bedrooms-flat-with-bq,14000000.0,2.0,2.0,3.0,2.0,Ikoyi,"Ikoyi, Old",flat 
2 bedroom flat / apartment for rent,"Illson, Back Of Enyo Filling Station, Ikate Elegushi, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/ikate-elegushi/2245558-two-bedrooms-apartment,6000000.0,2.0,2.0,3.0,1.0,Lekki,"Elegushi, Ikate",flat 
3 bedroom house for rent,"Oniru, Victoria Island (VI), Lagos",https://nigeriapropertycentre.com//for-rent/houses/lagos/victoria-island/2245533-fully-furnished-3-bedroom-apartment-with-elevator,14000000.0,3.0,3.0,4.0,2.0,(VI),Island Victoria,house 
1 bedroom mini flat (room and parlour) for rent,"Off Lawanson Road, Lawanson, Surulere, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/surulere/lawanson/2245474-newly-built-spacious-mini-flat-upstairs,1500000.0,1.0,1.0,2.0,1.0,Surulere,"Lawanson, Road,",mini flat
3 bedroom terraced duplex for rent,"Gra, Ikota, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/terraced-duplexes/lagos/lekki/ikota/2245453-luxury-3-bedroom-terrace-duplex,4000000.0,3.0,3.0,4.0,2.0,Lekki,"Ikota, Gra,",terraced duplex
2 bedroom terraced duplex for rent,"Gra, Ikota, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/terraced-duplexes/lagos/lekki/ikota/2245443-luxury-24bedroom-terrace,3800000.0,2.0,2.0,3.0,2.0,Lekki,"Ikota, Gra,",terraced duplex
1 bedroom mini flat (room and parlour) for rent,"Silverzone, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/ajah/2077836-renovated-room-and-parlor,1000000.0,1.0,1.0,1.0,3.0,Ajah,,mini flat
